time_ps,voltage
10.4,0.449421
10.5,0.452193
10.6,0.454936
10.7,0.45765
10.8,0.460335
10.9,0.462992
11,0.465621
11.1,0.468222
11.2,0.470795
11.3,0.47334
11.4,0.475858
11.5,0.47835
11.6,0.480814
11.7,0.483252
11.8,0.485664
11.9,0.48805
12,0.49041
12.1,0.492744
12.2,0.495053
12.3,0.497337
12.4,0.499597
12.5,0.501831
12.6,0.504042
12.7,0.506228
12.8,0.508391
12.9,0.51053
13,0.512645
13.1,0.514738
13.2,0.516807
13.3,0.518854
13.4,0.520878
13.5,0.522881
13.6,0.524861
13.7,0.526819
13.8,0.528756
13.9,0.530672
14,0.532566
14.1,0.53444
14.2,0.536293
14.3,0.538125
14.4,0.539937
14.5,0.541729
14.6,0.543502
14.7,0.545255
14.8,0.546988
14.9,0.548702
15,0.550397
15.1,0.552074
15.2,0.553732
15.3,0.555371
15.4,0.556992
15.5,0.558595
15.6,0.560181
15.7,0.561749
15.8,0.563299
15.9,0.564832
16,0.566348
16.1,0.567847
16.2,0.56933
16.3,0.570796
16.4,0.572245
16.5,0.573679
16.6,0.575096
16.7,0.576498
16.8,0.577884
16.9,0.579254
17,0.58061
17.1,0.58195
17.2,0.583275
17.3,0.584585
17.4,0.585881
17.5,0.587163
17.6,0.588429
17.7,0.589682
17.8,0.590921
17.9,0.592146
18,0.593357
18.1,0.594555
18.2,0.595739
18.3,0.59691
18.4,0.598068
18.5,0.599213
18.6,0.600345
18.7,0.601465
18.8,0.602572
18.9,0.603666
19,0.604749
19.1,0.605819
19.2,0.606877
19.3,0.607923
19.4,0.608958
19.5,0.609981
19.6,0.610992
19.7,0.611993
19.8,0.612981
19.9,0.613959
20,0.614926
20.1,0.615882
20.2,0.616828
20.3,0.617762
20.4,0.618687
20.5,0.619601
20.6,0.620504
20.7,0.621398
20.8,0.622281
20.9,0.623155
21,0.624019
21.1,0.624873
21.2,0.625717
21.3,0.626552
21.4,0.627378
21.5,0.628194
21.6,0.629001
21.7,0.629799
21.8,0.630588
21.9,0.631369
22,0.63214
22.1,0.632903
22.2,0.633657
22.3,0.634403
